ADDRESS,LATITUDE,LONGITUDE
7900 S HALSTED STREET,41.75054956,-87.64418837
7900 S JEFFERY BOULEV,41.7514114,-87.5784629
7900 S KEDZIE AVE,41.74972397,-87.70253957
7900 S PULASKI ROAD,41.749339,-87.72205209
7900 S SOUTH CHICAGO AVE,41.75133971,-87.58563227
7900 S STATE STREET,41.75091814,-87.62469012
7900 S STONEY ISLAND,41.7514606,-87.58597199
7900 S WESTERN AVE,41.75005493,-87.6829922
800 E 95TH STREET,41.72215394,-87.60444774
800 N CENTRAL AVENUE,41.89489658,-87.76554326
800 N CICERO AVENUE,41.89504904,-87.74595552
800 N PULASKI ROAD,41.89545646,-87.72623054
800 N SACRAMENTO AVEN,41.89564071,-87.70235233
800 N WESTERN AVE,41.89578696,-87.68699059
800 W 103RD STREET,41.70702632,-87.64289601
800 W 111TH ST,41.69246536,-87.6424409
800 W 115TH STREET,41.68519006,-87.64227956
800 W 119TH STREET,41.67792339,-87.64198965
800 W 79TH STREET,41.75075116,-87.64410779
800 W 99TH ST,41.71432334,-87.64306671
800 W DIVISION,41.90374556,-87.64816701
800 W FULLERTON AVENUE,41.92556279,-87.64882364
800 W NORTH AVENUE,41.91102851,-87.64833581
800 W ROOSEVELT ROAD,41.8672631,-87.64697269
8300 S HALSTED STREET,41.74326449,-87.64397498
8300 S STONY ISLAND A,41.74415164,-87.58594507
848 W 87TH STREET,41.73615755,-87.6454274
8700 S ASHLAND AVE,41.73569699,-87.66320954
8700 S LAFAYETTE AVEN,41.73616511,-87.62558757
8700 S VINCENNES,41.73600657,-87.64534182
9500 S ASHLAND AVENUE,41.72116061,-87.66282814
9500 S COTTAGE GROVE,41.72197047,-87.60334804
9500 S HALSTED STREET,41.72136506,-87.64335804
9500 S JEFFERY AVE,41.72237591,-87.5754999
9900 S HALSTED ST,41.71411887,-87.64314541
1 W ROOSEVELT RD,41.8673594,-87.6296733
1200 S STATE ST,41.8673351,-87.6296658
1200 W 79TH STREET,41.750763,-87.6562346
132 W CERMAK ROAD,41.8529494,-87.6326826
1600 W ROOSEVELT ROAD,41.8668933,-87.6686973
200 W 69TH STREET,41.7690641,-87.6321433
200 W NORTH AVENUE,41.9112121,-87.6369005
2200 S CLARK STREET,41.9220804,-87.6408044
2400 N KEDZIE AVE,41.9289121,-87.708582
2400 W 35TH,41.83028,-87.685033
2800 W 47TH STREET,41.8082802,-87.6963846
2800 W NORTH AVENUE,41.9104423,-87.6994395
3200 N CICERO AVE,41.9389432,-87.7493154
3200 N HALSTED ST,41.9402963,-87.6518085
3200 W DEVON AVENUE,41.997615,-87.7117297
3500 S CALIFORNIA AVE,41.82996,-87.6973647
400 W ONTARIO ST,41.893367,-87.641029
4000 N CALIFORNIA AVE,41.953973,-87.69824
4000 N NARRAGANSETT,41.952916,-87.786558
4000 N WESTERN AVE,41.9543352,-87.6909598
4400 N LAWRENCE AVENU,41.968108,-87.740163
4400 W DIVISION STREET,41.9025274,-87.7383428
4700 S CALIFORNIA AVE,41.8082679,-87.6963843
4800 W BELMONT AVE,41.9388343,-87.749144
5500 N HARLEM AVENUE,41.791216,-87.8044208
5930 N RIDGE AVENUE,41.989697,-87.669985
6000 W BELMONT AVE,41.938564,-87.7785295
628 N KINGSBURY ST,41.8935661,-87.6436835
7100 S PULASKI ROAD,41.7641933,-87.7245446
7200 W HIGGINS AVENUE,41.9811242,-87.8092615
7900 S COTTAGE GROVE,41.7511784,-87.6076345
7900 S RACINE AVENUE,41.7504855,-87.6559311
800 E 79TH ST,41.7512867,-87.6073533
800 W BELMONT AVE,41.9401819,-87.6516845
8900 S STONY ISLAND,41.733145,-87.5881407
